排名,ticker,名称,最新价,涨跌幅,更新时间,涨跌额,昨收价,最高价,最低价,52周高,52周低,成交量,总市值,市盈率
78,MNST,怪物饮料,85.3,-1.57,2026-02-28 09:30:08,-1.36,85.75,87.38,84.69,87.38,53.895,13561555,83339909724.0,1.77
79,PDD,拼多多,103.73,-1.58,2026-02-28 08:59:26,-1.66,104.5,104.89,103.44,139.41,87.11,5920749,147259927503.0,10.18
80,AMD,AMD,200.21,-1.7,2026-02-28 09:14:50,-3.47,200.105,201.89,197.74,267.08,76.48,31312396,325950196723.0,2.67
81,ADP,自动数据处理,214.36,-1.83,2026-02-28 08:59:32,-4.0,214.91,215.8,208.92,325.15,203.26,4998950,86310845867.0,10.44
82,LRCX,林氏研究,233.89,-2.17,2026-02-28 09:13:35,-5.18,233.46,240.1,232.68,256.68,55.57,12988890,292075049190.0,4.9
83,DASH,DoorDash,176.47,-2.18,2026-02-28 09:42:00,-3.94,175.57,179.5,175.0,285.5,155.4,5323771,76663218337.0,2.19
84,WBD,WBD,28.17,-2.19,2026-02-28 09:37:43,-0.63,28.39,28.4,28.12,30.0,7.52,68764339,69847140367.0,0.19
85,QCOM,高通,142.36,-2.22,2026-02-28 08:59:31,-3.23,142.855,143.91,141.35,205.06,118.132,12439865,151898120000.0,4.91
86,MSFT,微软,392.74,-2.24,2026-02-28 09:47:11,-8.98,390.88,396.82,389.88,552.8,341.31,51367176,2916341563308.0,16.05
87,NXPI,恩智浦,227.01,-2.25,2026-02-28 09:30:09,-5.22,229.06,229.93,223.85,256.36,145.048,2951903,57132621207.0,8.0
88,APP,APP AppLovin,434.77,-2.28,2026-02-28 09:12:54,-10.16,431.79,447.528,426.5,745.61,200.5,4889938,146932695350.0,9.53
89,CRWD,CrowdStrike,371.98,-2.39,2026-02-28 09:30:08,-9.12,369.06,373.5,359.29,566.9,298.0,5125781,93775577339.0,-1.26
90,MDB,MDB,328.47,-2.42,2026-02-28 09:46:45,-8.14,328.785,331.3,319.21,444.72,140.78,1825523,26734751078.0,-0.86
91,ON,ON SEMICONDUCTOR,66.48,-2.46,2026-02-28 09:30:09,-1.68,66.87,67.32,65.56,73.76,31.04,9310386,26194484502.0,0.34
92,MAR,万豪,341.73,-2.52,2026-02-28 08:18:17,-8.84,346.81,347.95,339.51,369.33,202.72,1664580,90553171638.0,9.52
93,SNPS,新思科技,414.0,-2.82,2026-02-28 09:12:34,-12.0,410.41,417.15,404.53,651.73,365.74,4647600,79205737698.0,6.53
94,COIN,COIN,175.85,-2.88,2026-02-28 09:14:41,-5.21,175.35,179.0565,171.81,444.645,139.36,11427866,46437618292.0,5.02
95,AAPL,苹果,264.18,-3.21,2026-02-28 09:38:28,-8.77,272.81,272.81,262.89,288.36,168.17,72366505,3878463565200.0,7.93
96,WDAY,工时公司,133.76,-3.85,2026-02-28 09:10:16,-5.35,132.99,134.1,129.03,276.0,117.76,9230635,35178880000.0,2.61
97,DDOG,DDOG,111.96,-3.86,2026-02-28 09:30:08,-4.5,112.755,113.4717,109.4,201.69,81.63,4953906,39261096610.0,0.31
98,NVDA,英伟达,177.19,-4.16,2026-02-28 09:47:53,-7.7,181.25,182.59,176.38,212.18,86.59,311636494,4305717000000.0,4.93
99,TEAM,TEAM,75.13,-5.41,2026-02-28 09:42:48,-4.3,75.43,76.77,73.56,287.26,67.85,7419952,19815092279.0,-0.72
100,ZS,ZS,146.99,-12.17,2026-02-28 09:38:22,-20.37,144.95,151.0,140.56,336.99,140.56,11093341,23440672569.0,-0.26
